City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
221,imbituba,BR,58.89,light rain,-28.24,-48.6703,Praia Hotel Imbituba
222,romita,MX,66.25,overcast clouds,20.8667,-101.5167,HOTEL RESTER
223,westport,US,72.75,overcast clouds,41.1415,-73.3579,The Westport Inn
225,grindavik,IS,46.35,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
227,beira,MZ,73.49,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
228,grants,US,66.43,clear sky,35.1473,-107.8514,"Motel 6 Grants, NM"
229,kaitangata,NZ,45.41,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
234,broome,US,68.85,broken clouds,42.2506,-75.833,Chenango Valley State Park
236,burley,US,57.11,clear sky,42.5357,-113.7928,Fairfield Inn & Suites by Marriott Burley
237,namibe,AO,60.67,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
240,honningsvag,NO,42.55,clear sky,70.9821,25.9704,Nordkapp Vandrerhjem
241,zaozerne,UA,61.45,clear sky,45.1582,33.2787,"Molodozhnyy Lager' ""Pioner"""
243,lasa,IT,58.03,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
245,cootamundra,AU,66.94,clear sky,-34.65,148.0333,Cootamundra Gardens Motel & indian restaurant
247,port pirie,AU,69.89,overcast clouds,-33.1833,138.0167,John Pirie Motor Inn
249,portland,US,68.09,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
250,athabasca,CA,43.63,scattered clouds,54.7169,-113.2854,Athabasca Lodge Motel
252,lagoa,PT,68.72,overcast clouds,39.05,-27.9833,Casa Das Faias
254,lunca corbului,RO,64.47,overcast clouds,44.7,24.75,Pensiunea Lacul
256,ullapool,GB,57.94,overcast clouds,57.8987,-5.1604,Argyll Hotel
257,kashi,CN,72.23,light rain,39.4547,75.9797,帕米尔青年旅舍
261,huron,US,68.7,clear sky,41.1501,-82.5499,Meadow Brook Mobile Estates
262,nyrob,RU,40.03,overcast clouds,60.733,56.7202,Gostinitsa
263,maniitsoq,GL,36.86,overcast clouds,65.4167,-52.9,Hotel Heilmann Lyberth
264,kodiak,US,51.31,light rain,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
265,malaya vishera,RU,34.27,overcast clouds,58.8454,32.2222,"Seating House ""Nicholas"""
266,olafsvik,IS,45.03,light rain,64.8945,-23.7142,Hotel Olafsvik
267,sao joao da barra,BR,72.25,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
268,eureka,US,52.93,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
269,belgaum,IN,73.31,scattered clouds,15.8667,74.5,Mayur World Travels
270,ginda,IN,70.7,broken clouds,30.6945,78.4932,Bal uma sankar hotel and restaurant
271,sawtell,AU,71.92,few clouds,-30.3833,153.1,Island Beach House Sawtell
272,hofn,IS,52.88,overcast clouds,64.2539,-15.2082,Hótel Höfn
273,dunedin,NZ,45.81,broken clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
276,talnakh,RU,42.01,few clouds,69.4865,88.3972,Talnakh Hotel
277,salekhard,RU,38.35,light rain,66.53,66.6019,Hotel 89
282,petropavlovsk-kamchatskiy,RU,63.19,clear sky,53.0452,158.6483,The Hotel Petropavlovsky
285,vardo,NO,41.2,broken clouds,70.3705,31.1107,Vardø Hotel AS
286,west norriton,US,72.64,overcast clouds,40.1296,-75.3785,"Crowne Plaza Philadelphia - King of Prussia, an IHG Hotel"
287,marfino,RU,43.05,broken clouds,55.7028,37.3822,Nemchinovka-Park
288,pangnirtung,CA,33.69,overcast clouds,66.1451,-65.7125,Kilabuk Lodge
