City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
203,samana,DO,19.2056,-69.3369,78.33,92,100,5.82,overcast clouds
204,avarua,CK,-21.2078,-159.775,78.85,73,40,19.57,scattered clouds
205,verkhoyansk,RU,67.5447,133.385,49.1,77,100,5.91,overcast clouds
206,mahebourg,MU,-20.4081,57.7,70.25,94,75,3.44,broken clouds
207,lompoc,US,34.6391,-120.4579,58.01,82,90,4.61,overcast clouds
208,bolgatanga,GH,10.7856,-0.8514,75.22,84,100,1.81,light rain
209,luderitz,NA,-26.6481,15.1594,61.59,37,4,9.35,clear sky
210,durango,MX,24.8333,-104.8333,64.33,64,67,2.26,broken clouds
211,san policarpo,PH,12.1791,125.5072,83.62,73,100,4.92,overcast clouds
212,san bartolome,ES,27.9248,-15.5733,64.87,80,40,10.36,scattered clouds
213,sorland,NO,67.667,12.6934,48.27,80,100,13.65,overcast clouds
214,baherden,TM,38.4362,57.4316,84.07,21,0,5.48,clear sky
215,melchor de mencos,GT,17.0686,-89.1522,77.0,94,75,0.0,thunderstorm
216,aykhal,RU,66.0,111.5,34.52,74,100,17.45,overcast clouds
217,gat,IL,31.61,34.7642,72.28,100,0,2.64,clear sky
218,den helder,NL,52.9599,4.7593,60.98,94,90,2.3,mist
219,straumen,NO,63.8709,11.2999,51.8,85,100,4.85,overcast clouds
220,russell,US,32.3502,-85.1999,74.97,92,90,3.44,overcast clouds
221,imbituba,BR,-28.24,-48.6703,58.89,94,100,3.6,light rain
222,romita,MX,20.8667,-101.5167,66.25,80,100,1.59,overcast clouds
223,westport,US,41.1415,-73.3579,72.75,92,90,5.01,overcast clouds
224,beroroha,MG,-21.6667,45.1667,71.26,54,2,2.71,clear sky
225,grindavik,IS,63.8424,-22.4338,46.35,81,75,23.02,broken clouds
226,puqi,CN,29.7167,113.8833,88.52,50,7,4.99,clear sky
227,beira,MZ,-19.8436,34.8389,73.49,94,75,5.75,broken clouds
228,grants,US,35.1473,-107.8514,66.43,20,1,8.05,clear sky
229,kaitangata,NZ,-46.2817,169.8464,45.41,55,75,7.96,broken clouds
230,hilo,US,19.7297,-155.09,80.33,78,40,5.75,scattered clouds
231,shingu,JP,33.7333,135.9833,76.19,85,100,7.07,overcast clouds
232,longview,US,32.5007,-94.7405,75.7,79,3,5.7,clear sky
233,tessalit,ML,20.1986,1.0114,83.93,41,6,6.67,clear sky
234,broome,US,42.2506,-75.833,68.85,76,76,1.01,broken clouds
235,kaka,TM,37.3482,59.6143,88.74,10,0,5.23,clear sky
236,burley,US,42.5357,-113.7928,57.11,30,1,10.36,clear sky
237,namibe,AO,-15.1961,12.1522,60.67,88,55,4.99,broken clouds
238,alampur,IN,15.8833,78.15,82.96,64,74,10.09,broken clouds
239,acapulco,MX,16.8634,-99.8901,79.5,85,100,3.47,overcast clouds
240,honningsvag,NO,70.9821,25.9704,42.55,70,0,11.5,clear sky
241,zaozerne,UA,45.1582,33.2787,61.45,52,0,5.55,clear sky
242,wagar,SD,16.1525,36.2032,86.07,39,69,3.69,broken clouds
243,lasa,IT,46.6166,10.7002,58.03,94,100,4.21,overcast clouds
244,saint anthony,US,45.0205,-93.218,80.53,59,1,5.99,clear sky
245,cootamundra,AU,-34.65,148.0333,66.94,62,0,10.27,clear sky
246,oranjemund,NA,-28.55,16.4333,56.14,48,5,12.03,clear sky
247,port pirie,AU,-33.1833,138.0167,69.89,37,88,3.8,overcast clouds
248,gobo,JP,33.8833,135.15,76.23,74,100,20.89,overcast clouds
249,portland,US,45.5234,-122.6762,68.09,34,98,1.99,overcast clouds
250,athabasca,CA,54.7169,-113.2854,43.63,69,47,3.31,scattered clouds
251,zhuhai,CN,22.2769,113.5678,93.7,79,20,8.05,light rain
252,lagoa,PT,39.05,-27.9833,68.72,85,92,17.31,overcast clouds
253,evensk,RU,61.95,159.2333,49.41,80,13,12.15,few clouds
254,lunca corbului,RO,44.7,24.75,64.47,49,100,3.47,overcast clouds
255,canon city,US,38.441,-105.2424,84.18,17,1,11.5,clear sky
256,ullapool,GB,57.8987,-5.1604,57.94,91,100,7.74,overcast clouds
257,kashi,CN,39.4547,75.9797,72.23,30,0,8.95,light rain
258,makakilo city,US,21.3469,-158.0858,80.35,70,1,5.75,clear sky
259,san nicolas,PH,18.1725,120.5953,86.4,73,80,5.5,broken clouds
260,bani,DO,18.2833,-70.3333,81.86,80,99,6.73,overcast clouds
261,huron,US,41.1501,-82.5499,68.7,89,0,6.26,clear sky
262,nyrob,RU,60.733,56.7202,40.03,84,100,8.12,overcast clouds
263,maniitsoq,GL,65.4167,-52.9,36.86,55,94,5.84,overcast clouds
264,kodiak,US,57.79,-152.4072,51.31,87,90,13.8,light rain
265,malaya vishera,RU,58.8454,32.2222,34.27,96,91,4.34,overcast clouds
266,olafsvik,IS,64.8945,-23.7142,45.03,72,97,19.26,light rain
267,sao joao da barra,BR,-21.6403,-41.0511,72.25,93,100,15.12,overcast clouds
268,eureka,US,40.8021,-124.1637,52.93,79,3,2.46,clear sky
269,belgaum,IN,15.8667,74.5,73.31,83,40,10.36,scattered clouds
270,ginda,IN,30.6945,78.4932,70.7,79,78,3.22,broken clouds
